 ******* Program SOILCO2
 *******  Zalf Lysimeter Dedelow Dd_2_6 with Nitrogen                            
 Units: L = cm  , T = day , M = kg  

 CosAlf,MaxIt,TolTh,TolH
 1.000   20 0.00100   0.010

 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lCO2,lRoot,lTemp,InitWC
     T     T     T     T     T     F     F     F     T     T     F     T     T
 using plants

Nodal point information

node      x         hOld    MatN LayN  Beta      CO2       Temp     Conc...
  84     84.000      0.309    6    1   0.000  0.3591E-01  14.397
  83     83.000      0.308    6    1   0.000  0.3617E-01  14.346
  82     82.000      0.307    6    1   0.000  0.3644E-01  14.295
  81     81.000      0.307    6    1   0.000  0.3670E-01  14.243
  80     80.000      0.306    6    1   0.000  0.3697E-01  14.192
  79     79.000      0.305    6    1   0.000  0.3723E-01  14.141
  78     78.000      0.305    6    1   0.000  0.3750E-01  14.089
  77     77.000      0.304    6    1   0.000  0.3776E-01  14.038
  76     76.000      0.303    6    1   0.000  0.3803E-01  13.987
  75     75.000      0.303    6    1   0.000  0.3829E-01  13.935
  74     74.000      0.302    6    1   0.000  0.3856E-01  13.884
  73     73.000      0.301    6    1   0.000  0.3882E-01  13.833
  72     72.000      0.301    6    1   0.000  0.3909E-01  13.781
  71     71.000      0.300    7    1   0.000  0.3935E-01  13.730
  70     70.000      0.299    7    1   0.000  0.3962E-01  13.678
  69     69.000      0.299    7    1   0.000  0.3988E-01  13.627
  68     68.000      0.298    7    1   0.000  0.4015E-01  13.575
  67     67.000      0.297    7    1   0.000  0.4041E-01  13.523
  66     66.000      0.297    7    1   0.000  0.4068E-01  13.472
  65     65.000      0.296    7    1   0.000  0.4094E-01  13.420
  64     64.000      0.295    7    1   0.000  0.4121E-01  13.368
  63     63.000      0.295    7    1   0.000  0.4147E-01  13.317
  62     62.000      0.294    7    1   0.000  0.4174E-01  13.265
  61     61.000      0.293    7    1   0.000  0.4200E-01  13.213
  60     60.000      0.293    7    1   0.000  0.4227E-01  13.162
  59     59.000      0.292    7    1   0.000  0.4253E-01  13.110
  58     58.000      0.291    7    1   0.000  0.4279E-01  13.058
  57     57.000      0.291    7    1   0.000  0.4306E-01  13.007
  56     56.000      0.290    7    1   0.000  0.4333E-01  12.955
  55     55.000      0.289    7    1   0.000  0.4359E-01  12.903
  54     54.000      0.289    7    1   0.000  0.4386E-01  12.852
  53     53.000      0.288    7    1   0.000  0.4412E-01  12.800
  52     52.000      0.287    7    1   0.000  0.4439E-01  12.748
  51     51.000      0.287    7    1   0.000  0.4465E-01  12.697
  50     50.000      0.286    7    1   0.000  0.4492E-01  12.645
  49     49.000      0.285    7    1   0.000  0.4518E-01  12.593
  48     48.000      0.285    7    1   0.000  0.4544E-01  12.542
  47     47.000      0.284    7    1   0.000  0.4571E-01  12.490
  46     46.000      0.283    7    1   0.000  0.4598E-01  12.438
  45     45.000      0.283    7    1   0.000  0.4624E-01  12.387
  44     44.000      0.282    7    1   0.000  0.4651E-01  12.335
  43     43.000      0.281    7    1   0.000  0.4677E-01  12.283
  42     42.000      0.281    7    1   0.000  0.4704E-01  12.232
